ON,1455696408,2016-02-17 09:06:48,325.0,MOBILE,Free,0.0,0.0,0.0,NO_INFO
OFF-ON,1455696733,2016-02-17 09:12:13,217.0,MOBILE,Free,48.8342649,2.3336951,699.999,fused
ON,1455696950,2016-02-17 09:15:50,169.0,MOBILE,Free,48.8324664,2.3385528,123.046,fused
OFF,1455697119,2016-02-17 09:18:39,130.0,NOT_CON,NO-INFO,48.8304552,2.3516353,92.004,fused
ON,1455697249,2016-02-17 09:20:49,241.0,MOBILE,Free,48.8331054,2.3624834,67.5,fused
OFF-ON,1455697490,2016-02-17 09:24:50,162.0,MOBILE,Free,48.8403593,2.374228,500.0,fused
ON,1455697652,2016-02-17 09:27:32,9.796000003814697,MOBILE,Free,48.8389531,2.3889764,38.04,fused
OFF,1455783069,2016-02-18 09:11:09,0,NO_INFO,NO_INFO,0.0,0.0,0.0,NO_INFO
ON,1455783069,2016-02-18 09:11:09,423.0,MOBILE,Free,0.0,0.0,0.0,NO_INFO
OFF,1455783492,2016-02-18 09:18:12,4.0,NOT_CON,NO-INFO,48.8333611,2.3331537,40.5,fused
ON-OFF,1455783496,2016-02-18 09:18:16,60.0,NOT_CON,NO-INFO,48.8334456,2.3331012,135.0,fused
OFF,1455783556,2016-02-18 09:19:16,174.0,NOT_CON,NO-INFO,48.8342649,2.3336951,699.999,fused
ON,1455783730,2016-02-18 09:22:10,293.0,MOBILE,Free,48.8323737,2.3385241,148.554,fused
OFF,1455784023,2016-02-18 09:27:03,73.0,NOT_CON,NO-INFO,48.8300556,2.3515617,39.0,fused
ON,1455784096,2016-02-18 09:28:16,174.0,MOBILE,Free,48.8321368,2.363139,531.0,fused
OFF-ON,1455784270,2016-02-18 09:31:10,60.0,MOBILE,Free,48.8350919,2.3682915,107.058,fused
ON,1455784330,2016-02-18 09:32:10,62.0,MOBILE,Free,48.8372474,2.3734241,18.206,fused
OFF-ON,1455784392,2016-02-18 09:33:12,154.84100008010864,MOBILE,Free,48.839709,2.3780129,267.338,fused
ON,1455869701,2016-02-19 09:15:01,334.0,MOBILE,Free,0.0,0.0,0.0,NO_INFO
OFF,1455870035,2016-02-19 09:20:35,272.0,NOT_CON,NO-INFO,48.8331911,2.3331673,579.821,fused
ON,1455870307,2016-02-19 09:25:07,172.0,MOBILE,Free,48.8321248,2.3394518,31.5,fused
OFF,1455870479,2016-02-19 09:27:59,85.0,NOT_CON,NO-INFO,48.8307413,2.352357,500.0,fused
ON,1455870564,2016-02-19 09:29:24,299.0,MOBILE,Free,48.8323996,2.360175,79.5,fused
OFF-ON,1455870863,2016-02-19 09:34:23,123.15000009536743,MOBILE,Free,48.8400722,2.3787012,362.744,fused
ON,1456172582,2016-02-22 21:23:02,50.0,MOBILE,Free,0.0,0.0,0.0,NO_INFO
OFF,1456172632,2016-02-22 21:23:52,154.0,NOT_CON,NO-INFO,48.8390238,2.3894222,37.5,fused
ON,1456172786,2016-02-22 21:26:26,174.0,MOBILE,Free,48.8365841,2.3718358,52.5,fused
OFF-ON,1456172960,2016-02-22 21:29:20,30.0,MOBILE,Free,48.8320733,2.35933,43.277,fused
