ON,1455656040,2016-02-16 21:54:00,22.0,MOBILE,Free,0.0,0.0,0.0,NO_INFO
OFF-ON,1455656062,2016-02-16 21:54:22,219.0,MOBILE,Free,48.8390428,2.3894384,40.5,fused
ON,1455656281,2016-02-16 21:58:01,59.0,MOBILE,Free,48.8400726,2.3787016,42.0,fused
OFF-ON,1455656340,2016-02-16 21:59:00,60.0,MOBILE,Free,48.837091,2.3729882,30.0,fused
ON,1455656400,2016-02-16 22:00:00,164.0,MOBILE,Free,48.8351464,2.3691226,58.52,fused
OFF,1455656564,2016-02-16 22:02:44,68.0,NOT_CON,NO-INFO,48.8321039,2.3626513,500.0,fused
ON,1455656632,2016-02-16 22:03:52,10.0,MOBILE,Free,48.8304552,2.351635,36.0,fused
OFF-ON,1455656642,2016-02-16 22:04:02,58.0,MOBILE,Free,48.830072,2.3515252,30.0,fused
ON,1455656700,2016-02-16 22:05:00,77.0,MOBILE,Free,48.831143,2.3437805,49.5,fused
OFF,1455656777,2016-02-16 22:06:17,111.0,NOT_CON,NO-INFO,48.833043,2.3370096,115.205,fused
ON,1455656888,2016-02-16 22:08:08,297.0,MOBILE,Free,48.8334157,2.3329353,1460.0,fused
OFF,1455657185,2016-02-16 22:13:05,29.0,NOT_CON,NO-INFO,48.8204141,2.3385961,154.725,fused
ON-OFF,1455657214,2016-02-16 22:13:34,22.082000017166138,NOT_CON,NO-INFO,48.8204141,2.3385961,154.725,fused
OFF,1455740746,2016-02-17 21:25:46,0,NO_INFO,NO_INFO,0.0,0.0,0.0,NO_INFO
ON,1455740746,2016-02-17 21:25:46,205.0,MOBILE,Free,0.0,0.0,0.0,NO_INFO
OFF,1455740951,2016-02-17 21:29:11,87.0,NOT_CON,NO-INFO,0.0,0.0,0.0,NO_INFO
ON,1455741038,2016-02-17 21:30:38,206.0,MOBILE,Free,0.0,0.0,0.0,NO_INFO
OFF,1455741244,2016-02-17 21:34:04,206.0,NOT_CON,NO-INFO,0.0,0.0,0.0,NO_INFO
ON,1455741450,2016-02-17 21:37:30,76.0,MOBILE,Free,0.0,0.0,0.0,NO_INFO
OFF-ON,1455741526,2016-02-17 21:38:46,60.0,MOBILE,Free,0.0,0.0,0.0,NO_INFO
ON,1455741586,2016-02-17 21:39:46,68.62100005149841,MOBILE,Free,0.0,0.0,0.0,NO_INFO
OFF,1455823863,2016-02-18 20:31:03,0,NO_INFO,NO_INFO,0.0,0.0,0.0,NO_INFO
ON,1455823863,2016-02-18 20:31:03,21.0,MOBILE,Free,0.0,0.0,0.0,NO_INFO
OFF,1455823884,2016-02-18 20:31:24,54.0,NOT_CON,NO-INFO,48.8390431,2.3891245,42.0,fused
ON,1455823938,2016-02-18 20:32:18,172.0,MOBILE,Free,48.8390431,2.3891245,42.0,fused
OFF-ON,1455824110,2016-02-18 20:35:10,15.0,MOBILE,Free,48.8388756,2.38517,1097.0,fused
ON,1455824125,2016-02-18 20:35:25,269.0,MOBILE,Free,48.8397507,2.3780913,40.5,fused
OFF,1455824394,2016-02-18 20:39:54,70.0,NOT_CON,NO-INFO,48.8320967,2.3630019,500.0,fused
ON,1455824464,2016-02-18 20:41:04,181.0,MOBILE,Free,48.8299645,2.3509072,123.0,fused
OFF-ON,1455824645,2016-02-18 20:44:05,62.0,MOBILE,Free,48.8331544,2.3365527,103.865,fused
ON,1455824707,2016-02-18 20:45:07,64.0,MOBILE,Free,48.8338501,2.3327352,1460.0,fused
OFF-ON,1455824771,2016-02-18 20:46:11,32.0,MOBILE,Free,48.8327803,2.3336167,1460.0,fused
ON,1455824803,2016-02-18 20:46:43,816.2579998970032,MOBILE,Free,48.8341114,2.3329789,67.5,fused
